iso3,country_name,Year,Total,GDP,Population,GDP_per_capita
AUT,Austria,1932,5,,,
AUT,Austria,1936,9,,,
AUT,Austria,1948,4,,,
AUT,Austria,1952,2,,,
AUT,Austria,1956,2,,,
AUT,Austria,1960,2,6592693841.0,,
AUT,Austria,1968,4,12440625313.0,,
AUT,Austria,1972,3,22059612477.0,,
AUT,Austria,1976,1,42959976222.0,,
AUT,Austria,1980,4,82058912997.0,7547561.0,10872.242436596405
AUT,Austria,1984,3,67985344887.0,7547561.0,9007.591311550845
AUT,Austria,1988,1,133000000000.0,7547561.0,17621.586629111047
AUT,Austria,1992,2,195000000000.0,7678729.0,25394.827711721562
AUT,Austria,1996,3,237000000000.0,7678729.0,30864.48291116928
AUT,Austria,2000,3,197000000000.0,8010428.0,24592.943098670883
AUT,Austria,2004,7,301000000000.0,8010428.0,37576.019658375306
AUT,Austria,2008,3,430000000000.0,8010428.0,53680.0280833933
AUT,Austria,2016,1,396000000000.0,8642421.0,45820.49404906334
AUT,Austria,2020,7,433000000000.0,8907777.0,48609.20968273005
AUT,Austria,2024,5,,,
AZE,Azerbaijan,1996,1,,7427836.0,
AZE,Azerbaijan,2000,3,,8190337.0,
AZE,Azerbaijan,2004,5,,8190337.0,
AZE,Azerbaijan,2008,6,,8190337.0,
AZE,Azerbaijan,2012,10,,9237202.0,
AZE,Azerbaijan,2016,18,,9863480.0,
AZE,Azerbaijan,2020,7,,10284951.0,
AZE,Azerbaijan,2024,7,,,
BEL,Belgium,1900,16,,,
BEL,Belgium,1908,8,,,
BEL,Belgium,1912,6,,,
BEL,Belgium,1920,36,,,
BEL,Belgium,1924,13,,,
BEL,Belgium,1928,3,,,
BEL,Belgium,1936,2,,,
BEL,Belgium,1948,7,,,
BEL,Belgium,1952,4,,,
BEL,Belgium,1956,2,,,
BEL,Belgium,1960,4,11658722591.0,,
BEL,Belgium,1964,3,15960106681.0,,
BEL,Belgium,1968,2,21376353113.0,,
BEL,Belgium,1972,2,37209418019.0,,
BEL,Belgium,1976,6,71113882968.0,,
BEL,Belgium,1980,1,127000000000.0,9828986.0,12920.96661853013
BEL,Belgium,1984,4,83349530159.0,9828986.0,8479.972416178027
BEL,Belgium,1988,2,162000000000.0,9828986.0,16481.862930723473
BEL,Belgium,1992,3,235000000000.0,9959560.0,23595.419877986576
BEL,Belgium,1996,6,279000000000.0,9959560.0,28013.285727481936
BEL,Belgium,2000,5,236000000000.0,10264343.0,22992.21684232493
BEL,Belgium,2004,3,369000000000.0,10264343.0,35949.694978041945
BEL,Belgium,2008,2,515000000000.0,10264343.0,50173.69353303957
BEL,Belgium,2012,3,496000000000.0,10877947.0,45596.839182981865
BEL,Belgium,2016,6,476000000000.0,11248303.0,42317.49447005473
BEL,Belgium,2020,7,522000000000.0,11561717.0,45149.00338764562
BEL,Belgium,2024,10,,,
BGR,Bulgaria,1952,1,,,
BGR,Bulgaria,1956,5,,,
BGR,Bulgaria,1960,7,,,
BGR,Bulgaria,1964,10,,,
BGR,Bulgaria,1968,9,,,
BGR,Bulgaria,1972,21,,,
BGR,Bulgaria,1976,22,,,
BGR,Bulgaria,1980,41,,8980606.0,
BGR,Bulgaria,1988,35,,8980606.0,
BGR,Bulgaria,1992,16,,8767778.0,
BGR,Bulgaria,1996,15,,8767778.0,
BGR,Bulgaria,2000,13,,8097691.0,
BGR,Bulgaria,2004,12,,8097691.0,
BGR,Bulgaria,2008,5,,8097691.0,
BGR,Bulgaria,2012,3,,7592273.0,
BGR,Bulgaria,2016,3,,7309253.0,
BGR,Bulgaria,2020,6,,6979175.0,
BGR,Bulgaria,2024,7,,,
BLR,Belarus,1996,15,,10428525.0,
BLR,Belarus,2000,17,,10256483.0,
BLR,Belarus,2004,13,,10256483.0,
BLR,Belarus,2008,14,,10256483.0,
BLR,Belarus,2012,10,,9731427.0,
BLR,Belarus,2016,9,,9700609.0,
BLR,Belarus,2020,7,,9633740.0,
BRA,Brazil,1920,3,,,
BRA,Brazil,1948,1,,,
BRA,Brazil,1952,3,,,
BRA,Brazil,1956,1,,,
BRA,Brazil,1960,2,,,
BRA,Brazil,1964,1,,,
BRA,Brazil,1968,3,,,
BRA,Brazil,1972,2,,,
BRA,Brazil,1976,2,,,
BRA,Brazil,1980,4,,122288383.0,
BRA,Brazil,1984,8,,122288383.0,
BRA,Brazil,1988,6,,122288383.0,
BRA,Brazil,1992,3,,150706446.0,
BRA,Brazil,1996,15,,150706446.0,
BRA,Brazil,2000,12,,175873720.0,
BRA,Brazil,2004,10,,175873720.0,
BRA,Brazil,2008,17,,175873720.0,
BRA,Brazil,2012,17,,196353492.0,
BRA,Brazil,2016,19,,205188205.0,
BRA,Brazil,2020,20,,213196304.0,
BRA,Brazil,2024,20,,,
BWA,Botswana,2012,1,14380004175.0,2091664.0,6874.911159249286
BWA,Botswana,2020,1,15061922802.0,2546402.0,5914.982317010433
BWA,Botswana,2024,2,,,
CAN,Canada,1900,2,,,
CAN,Canada,1904,6,,,
CAN,Canada,1908,16,,,
CAN,Canada,1912,8,,,
CAN,Canada,1920,8,,,
CAN,Canada,1924,4,,,
CAN,Canada,1928,15,,,
CAN,Canada,1932,15,,,
CAN,Canada,1936,8,,,
CAN,Canada,1948,3,,,
CAN,Canada,1952,2,,,
CAN,Canada,1956,5,,,
CAN,Canada,1960,1,40461721693.0,,
CAN,Canada,1964,4,49377522897.0,,
CAN,Canada,1968,5,71829810520.0,,
CAN,Canada,1972,5,113000000000.0,,
CAN,Canada,1976,11,207000000000.0,,
CAN,Canada,1984,44,355000000000.0,24511510.0,14482.99186790206
CAN,Canada,1988,10,507000000000.0,24511510.0,20684.160216975615
CAN,Canada,1992,18,592000000000.0,27657204.0,21404.911356910845
CAN,Canada,1996,22,629000000000.0,27657204.0,22742.71831671777
CAN,Canada,2000,14,745000000000.0,30683313.0,24280.298545336354
CAN,Canada,2004,12,1030000000000.0,30683313.0,33568.73490160597
CAN,Canada,2008,20,1550000000000.0,30683313.0,50516.05737620315
CAN,Canada,2012,18,1830000000000.0,33963412.0,53881.51225795571
CAN,Canada,2016,22,1530000000000.0,35732126.0,42818.610904931884
CAN,Canada,2020,24,1650000000000.0,37888705.0,43548.598454341474
CAN,Canada,2024,27,,,
CHE,Switzerland,1896,3,,,
CHE,Switzerland,1900,9,,,
CHE,Switzerland,1904,3,,,
CHE,Switzerland,1920,11,,,
CHE,Switzerland,1924,25,,,
CHE,Switzerland,1928,15,,,
CHE,Switzerland,1932,1,,,
CHE,Switzerland,1936,15,,,
CHE,Switzerland,1948,20,,,
CHE,Switzerland,1952,14,,,
CHE,Switzerland,1960,6,,,
CHE,Switzerland,1964,4,,,
CHE,Switzerland,1968,5,,,
CHE,Switzerland,1972,3,,,
CHE,Switzerland,1976,4,,,
CHE,Switzerland,1980,2,,6319113.0,
CHE,Switzerland,1984,8,,6319113.0,
CHE,Switzerland,1988,4,,6319113.0,
CHE,Switzerland,1992,1,,6711693.0,
CHE,Switzerland,1996,7,,6711693.0,
CHE,Switzerland,2000,9,,7182059.0,
CHE,Switzerland,2004,5,,7182059.0,
CHE,Switzerland,2008,6,,7182059.0,
CHE,Switzerland,2012,4,,7822435.0,
CHE,Switzerland,2016,7,,8281732.0,
CHE,Switzerland,2020,13,,8638613.0,
CHE,Switzerland,2024,8,,,
CHL,Chile,1928,1,,,
CHL,Chile,1952,2,,,
CHL,Chile,1956,4,,,
CHL,Chile,1988,1,26040229793.0,11469828.0,2270.324349502015
CHL,Chile,2000,1,77860932152.0,15351799.0,5071.779024204265
CHL,Chile,2004,3,99210392858.0,15351799.0,6462.460383828631
CHL,Chile,2008,1,180000000000.0,15351799.0,11725.01020890125
CHL,Chile,2024,2,,,
CHN,People's Republic of China,1984,32,260000000000.0,982372466.0,264.6653983072852
CHN,People's Republic of China,1988,28,312000000000.0,982372466.0,317.59847796874226
CHN,People's Republic of China,1992,54,427000000000.0,1153704252.0,370.1121836551921
CHN,People's Republic of China,1996,50,864000000000.0,1153704252.0,748.8920999486791
CHN,People's Republic of China,2000,58,1210000000000.0,1264099069.0,957.2034579198001
CHN,People's Republic of China,2004,63,1960000000000.0,1264099069.0,1550.511386382486
CHN,People's Republic of China,2008,100,4590000000000.0,1264099069.0,3631.0445221916384
CHN,People's Republic of China,2012,91,8530000000000.0,1348191368.0,6326.994967082447
CHN,People's Republic of China,2016,70,11200000000000.0,1393715448.0,8036.073659133324
CHN,People's Republic of China,2020,88,14700000000000.0,1424929781.0,10316.297824643472
CHN,People's Republic of China,2024,91,,,
CIV,Ivory Coast,1984,1,6841638715.0,8303809.0,823.915713258819
CIV,Côte d'Ivoire,1984,1,6841638715.0,8303809.0,823.915713258819
CIV,Ivory Coast,2016,2,47964234560.0,23596741.0,2032.663517389965
CIV,Côte d'Ivoire,2016,2,47964234560.0,23596741.0,2032.663517389965
CIV,Ivory Coast,2020,1,61348579465.0,26811790.0,2288.1194976165334
CIV,Côte d'Ivoire,2020,1,61348579465.0,26811790.0,2288.1194976165334
CIV,Ivory Coast,2024,1,,,
CIV,Côte d'Ivoire,2024,1,,,
CRI,Costa Rica,1988,1,4614629898.0,2414303.0,1911.3714798846706
CRI,Costa Rica,1996,1,11678424507.0,3158253.0,3697.748251010923
CRI,Costa Rica,2000,2,15013629659.0,3979193.0,3773.0337932842162
CUB,Cuba,1900,2,,,
CUB,Cuba,1904,3,,,
CUB,Cuba,1948,1,,,
CUB,Cuba,1964,1,,,
CUB,Cuba,1968,4,,,
CUB,Cuba,1972,8,,,
CUB,Cuba,1976,13,,,
CUB,Cuba,1980,20,,9809107.0,
CUB,Cuba,1992,31,,10626680.0,
CUB,Cuba,1996,25,,10626680.0,
CUB,Cuba,2000,29,,11105791.0,
CUB,Cuba,2004,27,,11105791.0,
CUB,Cuba,2008,30,,11105791.0,
CUB,Cuba,2012,15,,11290417.0,
CUB,Cuba,2016,11,,11339894.0,
CUB,Cuba,2020,15,,11300698.0,
CUB,Cuba,2024,9,,,
CZE,Czech Republic,1996,11,,10301192.0,
CZE,Czechia,1996,11,,10301192.0,
CZE,Czech Republic,2000,8,,10234710.0,
CZE,Czechia,2000,8,,10234710.0,
CZE,Czech Republic,2004,9,,10234710.0,
CZE,Czechia,2004,9,,10234710.0,
CZE,Czech Republic,2008,7,,10234710.0,
CZE,Czechia,2008,7,,10234710.0,
CZE,Czech Republic,2012,11,,10464749.0,
CZE,Czechia,2012,11,,10464749.0,
CZE,Czech Republic,2016,10,,10523798.0,
CZE,Czechia,2016,10,,10523798.0,
CZE,Czech Republic,2020,11,,10530953.0,
CZE,Czechia,2020,11,,10530953.0,
CZE,Czech Republic,2024,5,,,
CZE,Czechia,2024,5,,,
DEU,Germany,1896,13,,,
DEU,Germany,1900,9,,,
DEU,Germany,1904,15,,,
DEU,Germany,1908,13,,,
DEU,Germany,1912,25,,,
DEU,Germany,1928,30,,,
DEU,Germany,1932,20,,,
DEU,Germany,1936,84,,,
DEU,Germany,1952,22,,,
DEU,Germany,1956,20,,,
DEU,Germany,1960,42,,,
DEU,Germany,1964,50,,,
DEU,Germany,1992,82,,79370196.0,
DEU,Germany,1996,65,,79370196.0,
DEU,Germany,2000,56,,81551677.0,
DEU,Germany,2004,49,,81551677.0,
DEU,Germany,2008,41,,81551677.0,
DEU,Germany,2012,44,,81325090.0,
DEU,Germany,2016,42,,82073226.0,
DEU,Germany,2020,37,,83328988.0,
DEU,Germany,2024,33,,,
DNK,Denmark,1896,6,,,
DNK,Denmark,1900,6,,,
DNK,Denmark,1908,5,,,
DNK,Denmark,1912,13,,,
DNK,Denmark,1920,13,,,
DNK,Denmark,1924,9,,,
DNK,Denmark,1928,6,,,
DNK,Denmark,1932,6,,,
DNK,Denmark,1936,5,,,
DNK,Denmark,1948,20,,,
DNK,Denmark,1952,6,,,
DNK,Denmark,1956,3,,,
DNK,Denmark,1960,6,,,
DNK,Denmark,1964,6,,,
DNK,Denmark,1968,8,,,
DNK,Denmark,1972,1,,,
DNK,Denmark,1976,3,,,
DNK,Denmark,1980,5,,5125392.0,
DNK,Denmark,1984,6,,5125392.0,
DNK,Denmark,1988,4,,5125392.0,
DNK,Denmark,1992,6,,5144623.0,
DNK,Denmark,1996,6,,5144623.0,
DNK,Denmark,2000,6,,5340655.0,
DNK,Denmark,2004,8,,5340655.0,
DNK,Denmark,2008,7,,5340655.0,
DNK,Denmark,2012,9,,5550849.0,
DNK,Denmark,2016,15,,5677796.0,
DNK,Denmark,2020,11,,5825641.0,
DNK,Denmark,2024,9,,,
DOM,Dominican Republic,1984,1,11594000000.0,5755800.0,2014.3159943014002
DOM,Dominican Republic,2004,1,22322395368.0,8540791.0,2613.6215448896946
DOM,Dominican Republic,2008,2,48122547177.0,8540791.0,5634.4368076680485
DOM,Dominican Republic,2012,2,60681537196.0,9775755.0,6207.350449760658
DOM,Dominican Republic,2016,1,75704720190.0,10405832.0,7275.22029857872
DOM,Dominican Republic,2020,5,78844702329.0,10999664.0,7167.919159076132
DOM,Dominican Republic,2024,3,,,
DZA,Algeria,1984,2,53698278906.0,18739378.0,2865.531551047212
DZA,Algeria,1992,2,48003078389.0,25518074.0,1881.1403395491368
DZA,Algeria,1996,3,46941582519.0,25518074.0,1839.542534401303
DZA,Algeria,2000,5,54790392746.0,30774621.0,1780.3758735485321
DZA,Algeria,2008,2,171000000000.0,30774621.0,5556.526593779985
DZA,Algeria,2012,1,209000000000.0,35856344.0,5828.815118462719
DZA,Algeria,2016,2,160000000000.0,39543154.0,4046.2123987378445
DZA,Algeria,2024,3,,,
ECU,Ecuador,1996,1,25226393197.0,10449837.0,2414.046572879558
ECU,Ecuador,2008,1,61762635000.0,12626507.0,4891.50601983589
ECU,Ecuador,2020,3,98808010000.0,17588595.0,5617.731831337295
ECU,Ecuador,2024,5,,,
EGY,Egypt,1928,4,,,
EGY,Egypt,1936,5,,,
EGY,Egypt,1948,5,,,
EGY,Egypt,1952,1,,,
EGY,Egypt,1984,1,,43748556.0,
EGY,Egypt,2004,5,,71371371.0,
EGY,Egypt,2008,2,,71371371.0,
EGY,Egypt,2012,4,,87252413.0,
EGY,Egypt,2016,3,,97723799.0,
EGY,Egypt,2020,6,,107465134.0,
EGY,Egypt,2024,3,,,
ESP,Spain,1900,1,,,
ESP,Spain,1920,2,,,
ESP,Spain,1928,1,,,
ESP,Spain,1932,1,,,
ESP,Spain,1948,1,,,
ESP,Spain,1952,1,,,
ESP,Spain,1960,1,12072126075.0,,
ESP,Spain,1972,1,59132415221.0,,
ESP,Spain,1976,2,119000000000.0,,
ESP,Spain,1980,6,233000000000.0,37491666.0,6214.71449148192
ESP,Spain,1984,5,172000000000.0,37491666.0,4587.686234055323
ESP,Spain,1988,4,376000000000.0,37491666.0,10028.895488400009
ESP,Spain,1992,22,631000000000.0,38889889.0,16225.29701743299
ESP,Spain,1996,17,643000000000.0,38889889.0,16533.86051063298
ESP,Spain,2000,11,597000000000.0,40741651.0,14653.308968750433
ESP,Spain,2004,20,1070000000000.0,40741651.0,26263.04957548235
ESP,Spain,2008,19,1630000000000.0,40741651.0,40008.19701685629
ESP,Spain,2012,18,1320000000000.0,46572772.0,28342.740689774702
ESP,Spain,2016,17,1230000000000.0,46431342.0,26490.72688874683
ESP,Spain,2020,17,1280000000000.0,47363807.0,27024.854653258764
ESP,Spain,2024,18,,,
EST,Estonia,1920,3,,,
EST,Estonia,1924,6,,,
EST,Estonia,1928,5,,,
EST,Estonia,1936,7,,,
EST,Estonia,1992,2,,1570674.0,
EST,Estonia,2000,3,,1396877.0,
EST,Estonia,2004,3,,1396877.0,
EST,Estonia,2008,2,,1396877.0,
EST,Estonia,2012,2,,1331535.0,
EST,Estonia,2016,1,,1314657.0,
EST,Estonia,2020,2,,1329444.0,
ETH,Ethiopia,1960,1,,,
ETH,Ethiopia,1964,1,,,
ETH,Ethiopia,1968,2,,,
ETH,Ethiopia,1972,2,,,
ETH,Ethiopia,1980,4,,34945469.0,
ETH,Ethiopia,1992,3,,47878073.0,
ETH,Ethiopia,1996,3,,47878073.0,
ETH,Ethiopia,2000,8,,67031867.0,
ETH,Ethiopia,2004,7,,67031867.0,
ETH,Ethiopia,2008,7,,67031867.0,
ETH,Ethiopia,2012,7,,89237791.0,
ETH,Ethiopia,2016,8,,102471895.0,
ETH,Ethiopia,2020,4,,117190911.0,
ETH,Ethiopia,2024,4,,,
FIN,Finland,1908,5,,,
FIN,Finland,1912,26,,,
FIN,Finland,1920,33,,,
FIN,Finland,1924,37,,,
FIN,Finland,1928,24,,,
FIN,Finland,1932,25,,,
FIN,Finland,1936,19,,,
FIN,Finland,1948,20,,,
FIN,Finland,1952,20,,,
FIN,Finland,1956,15,,,
FIN,Finland,1960,5,5224102196.0,,
FIN,Finland,1964,5,7766655086.0,,
FIN,Finland,1968,4,8823033880.0,,
FIN,Finland,1972,8,14743186120.0,,
FIN,Finland,1976,6,31849513771.0,,
FIN,Finland,1980,8,53645202423.0,4779418.0,11224.212325224536
FIN,Finland,1984,12,52888800950.0,4779418.0,11065.950069652832
FIN,Finland,1988,4,109000000000.0,4779418.0,22806.124092933493
FIN,Finland,1992,5,113000000000.0,4986545.0,22660.980699061172
FIN,Finland,1996,4,132000000000.0,4986545.0,26471.234090938717
FIN,Finland,2000,4,126000000000.0,5176209.0,24342.139198784284
FIN,Finland,2004,2,197000000000.0,5176209.0,38058.74144571828
FIN,Finland,2008,4,285000000000.0,5176209.0,55059.60056867874
FIN,Finland,2012,3,258000000000.0,5363271.0,48104.9717607035
FIN,Finland,2016,1,241000000000.0,5479461.0,43982.428198685964
FIN,Finland,2020,2,270000000000.0,5529468.0,48829.29062976764
FJI,Fiji,2016,1,4930204230.0,917200.0,5375.277180549499
FJI,Fiji,2020,2,4533883782.0,920422.0,4925.87506817525
FJI,Fiji,2024,1,,,
FRA,France,1896,11,,,
FRA,France,1900,97,,,
FRA,France,1904,1,,,
FRA,France,1908,19,,,
FRA,France,1912,14,,,
FRA,France,1920,41,,,
FRA,France,1924,38,,,
FRA,France,1928,21,,,
FRA,France,1932,19,,,
FRA,France,1936,18,,,
FRA,France,1948,29,,,
FRA,France,1952,17,,,
FRA,France,1956,14,,,
FRA,France,1960,5,62225478001.0,,
FRA,France,1964,15,94007851047.0,,
FRA,France,1968,15,130000000000.0,,
FRA,France,1972,13,203000000000.0,,
FRA,France,1976,9,372000000000.0,,
FRA,France,1980,14,701000000000.0,53713830.0,13050.642637101097
FRA,France,1984,28,531000000000.0,53713830.0,9885.722168759889
FRA,France,1988,16,1020000000000.0,53713830.0,18989.522810047245
FRA,France,1992,29,1400000000000.0,56412897.0,24817.020122189435
FRA,France,1996,37,1610000000000.0,56412897.0,28539.57314051785
FRA,France,2000,38,1360000000000.0,58665453.0,23182.29776560321
FRA,France,2004,33,2120000000000.0,58665453.0,36137.11122285206
FRA,France,2008,41,2920000000000.0,58665453.0,49773.75696732453
FRA,France,2012,35,2680000000000.0,62444567.0,42918.06523376165
FRA,France,2016,42,2470000000000.0,63809769.0,38708.80648384732
FRA,France,2020,33,2630000000000.0,64480053.0,40787.80766510846
FRA,France,2024,64,,,
GBR,Great Britain,1896,7,,,
GBR,Great Britain,1900,32,,,
GBR,Great Britain,1904,2,,,
GBR,Great Britain,1908,146,,,
GBR,Great Britain,1912,39,,,
GBR,Great Britain,1920,41,,,
GBR,Great Britain,1924,34,,,
GBR,Great Britain,1928,20,,,
GBR,Great Britain,1932,16,,,
GBR,Great Britain,1936,13,,,
GBR,Great Britain,1948,23,,,
GBR,Great Britain,1952,11,,,
GBR,Great Britain,1956,21,,,
GBR,Great Britain,1960,20,73233967692.0,,
GBR,Great Britain,1964,18,94407558351.0,,
GBR,Great Britain,1968,13,108000000000.0,,
GBR,Great Britain,1972,18,170000000000.0,,
GBR,Great Britain,1976,13,233000000000.0,,
GBR,Great Britain,1980,21,565000000000.0,56326328.0,10030.833183373858
GBR,Great Britain,1984,37,461000000000.0,56326328.0,8184.449730151058
GBR,Great Britain,1988,24,910000000000.0,56326328.0,16155.855215699487
GBR,Great Britain,1992,20,1180000000000.0,57210442.0,20625.60537462724
GBR,Great Britain,1996,15,1420000000000.0,57210442.0,24820.643755907357
GBR,Great Britain,2000,28,1660000000000.0,58850043.0,28207.28610172808
GBR,Great Britain,2004,30,2420000000000.0,58850043.0,41121.465280832505
GBR,Great Britain,2008,51,2940000000000.0,58850043.0,49957.48261390395
GBR,Great Britain,2012,65,2720000000000.0,62760039.0,43339.67988770689
GBR,Great Britain,2016,67,2720000000000.0,65224364.0,41702.208088989566
GBR,Great Britain,2020,65,2760000000000.0,67059474.0,41157.49550913567
GBR,Great Britain,2024,65,,,
GEO,Georgia,1996,2,,5391636.0,
GEO,Georgia,2000,6,,4265172.0,
GEO,Georgia,2004,4,,4265172.0,
GEO,Georgia,2008,7,,4265172.0,
GEO,Georgia,2012,6,,3836831.0,
GEO,Georgia,2016,7,,3771132.0,
GEO,Georgia,2020,8,,3765912.0,
GEO,Georgia,2024,7,,,
GHA,Ghana,1960,1,1217230038.0,,
GHA,Ghana,1964,1,1731296119.0,,
GHA,Ghana,1972,1,2112292945.0,,
GHA,Ghana,1992,1,6413901602.0,15446982.0,415.22037133208283
GHA,Ghana,2020,1,68532281806.0,32180401.0,2129.627962249445
GRC,Greece,1896,47,,,
GRC,Greece,1904,2,,,
GRC,Greece,1908,4,,,
GRC,Greece,1912,2,,,
GRC,Greece,1920,1,,,
GRC,Greece,1956,1,,,
GRC,Greece,1960,1,4335186017.0,,
GRC,Greece,1968,1,10090675903.0,,
GRC,Greece,1972,2,16885511364.0,,
GRC,Greece,1980,3,56829664269.0,9307148.0,6106.023485282495
GRC,Greece,1984,2,48020024184.0,9307148.0,5159.477874854896
GRC,Greece,1988,1,76261277925.0,9307148.0,8193.839608546034
GRC,Greece,1992,2,116000000000.0,10302255.0,11259.670819640944
GRC,Greece,1996,8,146000000000.0,10302255.0,14171.654652306705
GRC,Greece,2000,13,130000000000.0,11038109.0,11777.379621817468
GRC,Greece,2004,16,241000000000.0,11038109.0,21833.449914292385
GRC,Greece,2008,3,354000000000.0,11038109.0,32070.71066248757
GRC,Greece,2012,2,242000000000.0,11033783.0,21932.640872128806
GRC,Greece,2016,6,193000000000.0,10806641.0,17859.3885000899
GRC,Greece,2020,4,189000000000.0,10512232.0,17979.05525677135
GRC,Greece,2024,8,,,
HKG,"Hong Kong, China",1996,1,160000000000.0,5838574.0,27403.951718347664
HKG,"Hong Kong, China",2004,1,169000000000.0,6731195.0,25106.983232546376
HKG,"Hong Kong, China",2012,1,263000000000.0,7132438.0,36873.787055702414
HKG,"Hong Kong, China",2020,6,347000000000.0,7500958.0,46260.757625892584
HKG,"Hong Kong, China",2024,4,,,
HRV,Croatia,1992,3,,4873707.0,
HRV,Croatia,1996,2,,4873707.0,
HRV,Croatia,2000,2,,4548434.0,
HRV,Croatia,2004,5,,4548434.0,
HRV,Croatia,2008,5,,4548434.0,
HRV,Croatia,2012,6,,4368682.0,
HRV,Croatia,2016,10,,4254815.0,
HRV,Croatia,2020,8,,4096868.0,
HRV,Croatia,2024,7,,,
HUN,Hungary,1896,6,,,
HUN,Hungary,1900,5,,,
HUN,Hungary,1904,4,,,
HUN,Hungary,1908,9,,,
HUN,Hungary,1912,8,,,
HUN,Hungary,1924,9,,,
HUN,Hungary,1928,9,,,
HUN,Hungary,1932,15,,,
HUN,Hungary,1936,16,,,
HUN,Hungary,1948,27,,,
HUN,Hungary,1952,40,,,
HUN,Hungary,1956,26,,,
HUN,Hungary,1960,21,,,
HUN,Hungary,1964,22,,,
HUN,Hungary,1968,32,,,
HUN,Hungary,1972,35,,,
HUN,Hungary,1976,22,,,
HUN,Hungary,1980,32,,10698679.0,
HUN,Hungary,1988,23,,10698679.0,
HUN,Hungary,1992,30,,10375989.0,
HUN,Hungary,1996,21,,10375989.0,
HUN,Hungary,2000,17,,10202055.0,
HUN,Hungary,2004,17,,10202055.0,
HUN,Hungary,2008,10,,10202055.0,
HUN,Hungary,2012,18,,9986825.0,
HUN,Hungary,2016,15,,9844246.0,
HUN,Hungary,2020,20,,9750573.0,
HUN,Hungary,2024,19,,,
IDN,Indonesia,1988,1,,148177096.0,
IDN,Indonesia,1992,5,,182159874.0,
IDN,Indonesia,1996,4,,182159874.0,
IDN,Indonesia,2000,6,,214072421.0,
IDN,Indonesia,2004,4,,214072421.0,
IDN,Indonesia,2008,6,,214072421.0,
IDN,Indonesia,2012,3,,244016173.0,
IDN,Indonesia,2016,3,,259091970.0,
IDN,Indonesia,2020,5,,271857970.0,
IDN,Indonesia,2024,3,,,
IND,India,1900,2,,,
IND,India,1928,1,,,
IND,India,1932,1,,,
IND,India,1936,1,,,
IND,India,1948,1,,,
IND,India,1952,2,,,
IND,India,1956,1,,,
IND,India,1960,1,37029883875.0,,
